Date,Daily Max 8-hour CO Concentration,units_CO,Daily Mean PM2.5 Concentration,units_PM,Daily Max 8-hour Ozone Concentration,units_O3
01/01/2019,0.2,ppm,8.5,ug/m3 LC,0.033,ppm
01/02/2019,0.3,ppm,9.2,ug/m3 LC,0.027,ppm
01/03/2019,0.6,ppm,6,ug/m3 LC,0.015,ppm
01/03/2019,0.6,ppm,9.8,ug/m3 LC,0.015,ppm
01/04/2019,0.7,ppm,8.9,ug/m3 LC,0.026,ppm
01/05/2019,0.2,ppm,6,ug/m3 LC,0.039,ppm
01/06/2019,0.6,ppm,5.1,ug/m3 LC,0.034,ppm
01/06/2019,0.6,ppm,8.4,ug/m3 LC,0.034,ppm
01/07/2019,0.7,ppm,10.2,ug/m3 LC,0.031,ppm
01/08/2019,0.3,ppm,10.2,ug/m3 LC,0.036,ppm
01/09/2019,0.3,ppm,2.6,ug/m3 LC,0.037,ppm
01/09/2019,0.3,ppm,5.9,ug/m3 LC,0.037,ppm
01/10/2019,0.2,ppm,6.9,ug/m3 LC,0.029,ppm
01/11/2019,0.5,ppm,10.8,ug/m3 LC,0.03,ppm
01/12/2019,0.6,ppm,8.4,ug/m3 LC,0.031,ppm
01/12/2019,0.6,ppm,13.3,ug/m3 LC,0.031,ppm
01/13/2019,0.2,ppm,6.7,ug/m3 LC,0.031,ppm
01/14/2019,0.3,ppm,10.6,ug/m3 LC,0.031,ppm
01/15/2019,0.5,ppm,10.2,ug/m3 LC,0.024,ppm
01/15/2019,0.5,ppm,15.1,ug/m3 LC,0.024,ppm
01/16/2019,1,ppm,13.4,ug/m3 LC,0.029,ppm
01/17/2019,0.3,ppm,11.2,ug/m3 LC,0.027,ppm
01/18/2019,0.5,ppm,7.8,ug/m3 LC,0.029,ppm
01/18/2019,0.5,ppm,13.3,ug/m3 LC,0.029,ppm
01/19/2019,0.6,ppm,12.5,ug/m3 LC,0.036,ppm
01/20/2019,0.2,ppm,7.7,ug/m3 LC,0.038,ppm
01/21/2019,0.4,ppm,2.8,ug/m3 LC,0.04,ppm
01/21/2019,0.4,ppm,7.5,ug/m3 LC,0.04,ppm
01/22/2019,0.4,ppm,9.7,ug/m3 LC,0.035,ppm
01/23/2019,0.3,ppm,9.8,ug/m3 LC,0.038,ppm
01/24/2019,0.2,ppm,3,ug/m3 LC,0.033,ppm
01/24/2019,0.2,ppm,4.7,ug/m3 LC,0.033,ppm
01/25/2019,0.6,ppm,9.7,ug/m3 LC,0.036,ppm
01/26/2019,0.9,ppm,13.8,ug/m3 LC,0.039,ppm
